Date,Ticker,Final_Sentiment,Article_Count
2022-01-01,GOOGL,0.0,2
2022-01-02,GOOGL,0.0,0
2022-01-03,GOOGL,-0.4316,2
2022-01-04,GOOGL,0.1965,2
2022-01-05,GOOGL,0.0,0
2022-01-06,GOOGL,0.0,0
2022-01-07,GOOGL,0.0,0
2022-01-08,GOOGL,0.0,0
2022-01-09,GOOGL,0.0,0
2022-01-10,GOOGL,0.0,2
2022-01-11,GOOGL,0.0,1
2022-01-12,GOOGL,0.0,0
2022-01-13,GOOGL,0.0,0
2022-01-14,GOOGL,-0.0431,3
2022-01-15,GOOGL,0.0,0
2022-01-16,GOOGL,0.0,1
2022-01-17,GOOGL,0.0,3
2022-01-18,GOOGL,0.0,0
2022-01-19,GOOGL,0.0,0
2022-01-20,GOOGL,0.0,0
2022-01-21,GOOGL,0.0,0
2022-01-22,GOOGL,0.0,0
2022-01-23,GOOGL,0.0,0
2022-01-24,GOOGL,0.0,2
2022-01-25,GOOGL,0.0,0
2022-01-26,GOOGL,0.0,0
2022-01-27,GOOGL,0.0,0
2022-01-28,GOOGL,-0.773,2
2022-01-29,GOOGL,0.0,1
2022-01-30,GOOGL,0.2883,2
2022-01-31,GOOGL,0.0,0
2022-02-01,GOOGL,0.9407,2
2022-02-02,GOOGL,-0.4847,2
2022-02-03,GOOGL,-0.6564,2
2022-02-04,GOOGL,-0.896,1
2022-02-05,GOOGL,0.0,0
2022-02-06,GOOGL,-0.9499,1
2022-02-07,GOOGL,0.0,0
2022-02-08,GOOGL,-0.9731,1
2022-02-09,GOOGL,0.3345,3
2022-02-10,GOOGL,-0.9696,1
2022-02-11,GOOGL,0.0,0
2022-02-12,GOOGL,0.0,0
2022-02-13,GOOGL,0.0,0
2022-02-14,GOOGL,0.0,0
2022-02-15,GOOGL,0.2351,4
2022-02-16,GOOGL,0.0,0
2022-02-17,GOOGL,0.0964,2
2022-02-18,GOOGL,-0.9592,1
2022-02-19,GOOGL,0.0,0
2022-02-20,GOOGL,0.4041,2
2022-02-21,GOOGL,0.0,1
2022-02-22,GOOGL,-0.3219,2
2022-02-23,GOOGL,0.3783,2
2022-02-24,GOOGL,0.0,0
2022-02-25,GOOGL,0.4521,1
2022-02-26,GOOGL,0.0,1
2022-02-27,GOOGL,0.1016,1
2022-02-28,GOOGL,0.0,0
2022-03-01,GOOGL,-0.7668,1
2022-03-02,GOOGL,-0.1522,4
2022-03-03,GOOGL,0.0224,2
2022-03-04,GOOGL,0.0,0
2022-03-05,GOOGL,0.0,1
2022-03-06,GOOGL,0.0,0
2022-03-07,GOOGL,-0.4493,2
2022-03-08,GOOGL,0.0,2
2022-03-09,GOOGL,0.0,1
2022-03-10,GOOGL,0.0,0
2022-03-11,GOOGL,-0.1534,2
2022-03-12,GOOGL,0.0,0
2022-03-13,GOOGL,0.0,3
2022-03-14,GOOGL,-0.8723,1
2022-03-15,GOOGL,-0.1743,1
2022-03-16,GOOGL,-0.2723,3
2022-03-17,GOOGL,0.0,3
2022-03-18,GOOGL,-0.1757,4
2022-03-19,GOOGL,0.0,0
2022-03-20,GOOGL,0.0,0
2022-03-21,GOOGL,0.0,1
2022-03-22,GOOGL,-0.9402,1
2022-03-23,GOOGL,0.0,1
2022-03-24,GOOGL,0.0,0
2022-03-25,GOOGL,-0.5312,2
2022-03-26,GOOGL,-0.3902,3
2022-03-27,GOOGL,0.0,0
2022-03-28,GOOGL,0.0,2
2022-03-29,GOOGL,0.0,2
2022-03-30,GOOGL,0.0,1
2022-03-31,GOOGL,0.0,1
2022-04-01,GOOGL,0.0,0
2022-04-02,GOOGL,-0.19,3
2022-04-03,GOOGL,0.0,1
2022-04-04,GOOGL,0.2792,3
2022-04-05,GOOGL,0.0,3
2022-04-06,GOOGL,-0.2703,1
2022-04-07,GOOGL,0.0,2
2022-04-08,GOOGL,0.0,0
2022-04-09,GOOGL,0.0,0
2022-04-10,GOOGL,0.0,0
2022-04-11,GOOGL,-0.4828,2
2022-04-12,GOOGL,-0.2238,2
2022-04-13,GOOGL,0.0,0
2022-04-14,GOOGL,-0.5115,2
2022-04-15,GOOGL,-0.373,2
2022-04-16,GOOGL,0.0,0
2022-04-17,GOOGL,0.8742,1
2022-04-18,GOOGL,-0.3523,2
2022-04-19,GOOGL,0.6973,4
2022-04-20,GOOGL,0.0,1
2022-04-21,GOOGL,0.0,1
2022-04-22,GOOGL,-0.4877,2
2022-04-23,GOOGL,0.008,2
2022-04-24,GOOGL,0.7836,2
2022-04-25,GOOGL,-0.8683,4
2022-04-26,GOOGL,0.0,0
2022-04-27,GOOGL,-0.7291,2
2022-04-28,GOOGL,0.0,0
2022-04-29,GOOGL,-0.608,2
2022-04-30,GOOGL,0.0,0
2022-05-01,GOOGL,0.1702,1
